category,name,object,scene,x,y,schema,objectIndex,npcId,spriteI,dropType,size,keyUse,groupCount,target,targetBis,linkedTorch,objectiveCleared,destination,statsId,level,skillId,moduleId,container,destI,tier,keyId,pickup,npcToFreeCount,duration,torchGroupCount,isStartCheckpoint,torchesCount,dropXp
unlockers,None,OverworldUnlocker10,Overworld,156,37,Unlocker,54974,,,,,0,0,53761,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker11,Overworld,136,-36,Unlocker,54983,,,,,0,0,54028,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker12,Overworld,144,-54,Unlocker,54992,,,,,0,0,53967,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker13,Overworld,94,-68,Unlocker,55001,,,,,0,0,54302,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker14,Overworld,24,-114,Unlocker,55011,,,,,0,0,54083,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker15,Overworld,16,-92,Unlocker,55020,,,,,0,0,57354,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker16,Overworld,-72,74,Unlocker,55029,,,,,0,0,54594,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker17,Overworld,-9,-64,Unlocker,55038,,,,,0,0,53890,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker18,Overworld,-66.86,36,Unlocker,55047,,,,,0,0,54591,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker19,Overworld,223,110,Unlocker,55056,,,,,0,0,54648,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker20,Overworld,46,-106,Unlocker,55154,,,,,0,0,54276,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker21,Overworld,-108,10,Unlocker,55164,,,,,0,0,54615,54171,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker22,Overworld,-143,-40,Unlocker,55173,,,,,0,0,54102,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker23,Overworld,-143,-74,Unlocker,55182,,,,,0,0,54124,54257,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker24,Overworld,-151.77,-84,Unlocker,55191,,,,,0,0,54633,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker25,Overworld,-120,-98,Unlocker,55200,,,,,0,0,54143,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker26,Overworld,-252,19,Unlocker,55210,,,,,0,0,54498,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker27,Overworld,-216,71,Unlocker,55219,,,,,0,0,57593,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker28,Overworld,-135,29,Unlocker,55228,,,,,0,0,53906,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker29,Overworld,108,100,Unlocker,55238,,,,,0,0,53874,-1,,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch0,Overworld,114,219.01,UnlockerTorch,55252,,,,,,4,-1,-1,55328,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch1,Overworld,90,143.86,UnlockerTorch,55271,,,,,,4,-1,-1,55348,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch2,Overworld,207.92,109.28,UnlockerTorch,55290,,,,,,4,-1,-1,55368,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch3,Overworld,248,210,UnlockerTorch,55309,,,,,,4,-1,-1,55388,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch4,Overworld,168,136,UnlockerTorch,55328,,,,,,4,57851,-1,-1,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch5,Overworld,168,135,UnlockerTorch,55348,,,,,,4,57851,-1,-1,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch6,Overworld,168,135,UnlockerTorch,55368,,,,,,4,57851,-1,-1,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch7,Overworld,168,136,UnlockerTorch,55388,,,,,,4,57851,-1,-1,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker30,Overworld,72,94,Unlocker,55408,,,,,0,0,56135,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker31,Overworld,-196,223,Unlocker,55418,,,,,0,0,54334,-1,,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch8,Overworld,-224,182,UnlockerTorch,55497,,,,,,4,57546,-1,-1,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch9,Overworld,-224,190,UnlockerTorch,55517,,,,,,4,57546,-1,-1,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch10,Overworld,-214,190,UnlockerTorch,55537,,,,,,4,57546,-1,-1,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch11,Overworld,-214,182,UnlockerTorch,55557,,,,,,4,57546,-1,-1,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker32,Overworld,-143,138,Unlocker,55619,,,,,0,0,54184,-1,,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch12,Overworld,-151,150,UnlockerTorch,55628,,,,,,2,54683,-1,-1,,,,,,,,,,,,,,,,,
unlocker_torches,Unlocker torch,OverworldUnlockerTorch13,Overworld,-135,150,UnlockerTorch,55647,,,,,,2,54683,-1,-1,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker33,Overworld,-174,170,Unlocker,55666,,,,,0,0,54318,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker34,Overworld,-178,240,Unlocker,55675,,,,,0,0,54356,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker35,Overworld,55.84,250.7,Unlocker,55685,,,,,0,0,57530,-1,,,,,,,,,,,,,,,,,,
unlockers,Darker,OverworldUnlocker36,Overworld,-1,219,Unlocker,55694,,,,,4,0,54550,-1,,,,,,,,,,,,,,,,,,
unlockers,None,OverworldUnlocker37,Overworld,70,170,Unlocker,55702,,,,,0,0,54844,-1,,,,,,,,,,,,,,,,,,
unlocker_triggers,None,OverworldUnlockerTrigger0,Overworld,28,235,UnlockerTrigger,55711,,,,,,,54878,-1,,0,,,,,,,,,,,,,,,,
checkpoints,Checkpoint,OverworldCheckpoint0,Overworld,-1,34.44,Checkpoint,55713,,,,,,,,,,,,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel0,Overworld,-2,-87,Tunnel,56185,,16,,,,,,,,,56188,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel1,Overworld,-1.94,-50.18,Tunnel,56188,,16,,,,,,,,,56185,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel2,Overworld,89,-180,Tunnel,56191,,16,,,,,,,,,56194,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel3,Overworld,45.74,-180,Tunnel,56194,,16,,,,,,,,,56191,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel4,Overworld,218,104,Tunnel,56197,,16,,,,,,,,,56200,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel5,Overworld,247.52,106.71,Tunnel,56200,,16,,,,,,,,,56197,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel6,Overworld,190,146,Tunnel,56203,,16,,,,,,,,,56206,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel7,Overworld,190,124,Tunnel,56206,,16,,,,,,,,,56203,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel8,Overworld,246.5,95,Tunnel,56209,,16,,,,,,,,,56212,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel9,Overworld,225.43,95,Tunnel,56212,,16,,,,,,,,,56209,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel10,Overworld,-60,-165,Tunnel,56215,,16,,,,,,,,,56218,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel11,Overworld,-58,-199,Tunnel,56218,,16,,,,,,,,,56215,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel12,Overworld,224,158,Tunnel,56221,,16,,,,,,,,,56224,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel13,Overworld,224,173,Tunnel,56224,,16,,,,,,,,,56221,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel14,Overworld,-58,169,Tunnel,56227,,16,,,,,,,,,56230,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel15,Overworld,-83,169,Tunnel,56230,,16,,,,,,,,,56227,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel16,Overworld,-30.06,214.5,Tunnel,56233,,16,,,,,,,,,56236,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel17,Overworld,-56.37,214,Tunnel,56236,,16,,,,,,,,,56233,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel18,Overworld,-162,-40,Tunnel,56239,,16,,,,,,,,,56242,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel19,Overworld,-176,-40,Tunnel,56242,,16,,,,,,,,,56239,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel20,Overworld,144,118.99,Tunnel,56245,,16,,,,,,,,,56248,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel21,Overworld,144,148,Tunnel,56248,,16,,,,,,,,,56245,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel22,Overworld,-203,240,Tunnel,56251,,16,,,,,,,,,56254,,,,,,,,,,,,,,,
tunnels,Tunnel,Tunnel23,Overworld,-183,240,Tunnel,56254,,16,,,,,,,,,56251,,,,,,,,,,,,,,,
stats,Energy,OverworldEnergy0,Overworld,-41.96,16,StatsPickup,56259,,17,,,,,,,,,,8,0,,,,,,,,,,,,,
stats,Energy,OverworldEnergy1,Overworld,-50.5,-34,StatsPickup,56278,,17,,,,,,,,,,8,0,,,,,,,,,,,,,
stats,Energy,OverworldEnergy2,Overworld,18,-22,StatsPickup,56297,,17,,,,,,,,,,8,0,,,,,,,,,,,,,
stats,Energy,OverworldEnergy3,Overworld,-108,108,StatsPickup,56316,,17,,,,,,,,,,8,0,,,,,,,,,,,,,
stats,Energy,OverworldEnergy4,Overworld,65,114,StatsPickup,56335,,17,,,,,,,,,,8,0,,,,,,,,,,,,,
stats,Hp,OverworldHp0,Overworld,118,6,StatsPickup,56354,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp1,Overworld,73,-17,StatsPickup,56370,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp2,Overworld,42,55.73,StatsPickup,56386,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp3,Overworld,42,-180,StatsPickup,56402,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp4,Overworld,91,168,StatsPickup,56418,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp5,Overworld,-143,158,StatsPickup,56434,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp6,Overworld,72,-106,StatsPickup,56450,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp7,Overworld,-1,55.05,StatsPickup,56466,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp8,Overworld,-126,196,StatsPickup,56482,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp9,Overworld,205.15,-75.56,StatsPickup,56498,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp10,Overworld,-178,-167,StatsPickup,56514,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp11,Overworld,-176,-167,StatsPickup,56530,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp12,Overworld,172,260,StatsPickup,56546,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp13,Overworld,-2,-96,StatsPickup,56562,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,Hp,OverworldHp14,Overworld,-275,134,StatsPickup,56578,,18,,,,,,,,,,11,0,,,,,,,,,,,,,
stats,BulletNumber,StatsPickupBulletNumber1,Overworld,-178.5,-164.13,StatsPickup,56595,,19,,,,,,,,,,3,1,,,,,,,,,,,,,
stats,BulletNumber,StatsPickupBulletNumber2,Overworld,-177.41,-164.13,StatsPickup,56618,,20,,,,,,,,,,3,2,,,,,,,,,,,,,
stats,BulletNumber,StatsPickupBulletNumber3,Overworld,-176.32,-164.13,StatsPickup,56641,,21,,,,,,,,,,3,3,,,,,,,,,,,,,
stats,BulletNumber,StatsPickupBulletNumber4,Overworld,-175.22,-164.13,StatsPickup,56664,,22,,,,,,,,,,3,4,,,,,,,,,,,,,
skills,Boost,SkillBoost,Overworld,118,80,SkillPickup,56688,,23,,,,,,,,,,,,3,,,,,,,,,,,,
map_pieces,Map piece,MapPickupDesert,Overworld,-149.08,66.44,MapPickup,56713,,24,,,,,,,,,,,,,,,,,,,,,,,,
map_pieces,Map piece,MapPickupGreen,Overworld,89,37,MapPickup,56735,,24,,,,,,,,,,,,,,,,,,,,,,,,
map_pieces,Map piece,MapPickupSunkenCity,Overworld,-172,170,MapPickup,56757,,24,,,,,,,,,,,,,,,,,,,,,,,,
lore,Lore tablet,LorePickup2,Overworld,-98.63,-256.95,LorePickup,56779,,25,,,,,,,,,,,,,,,,,,,,,,,,
map_pieces,Map piece,MapPickupBeach,Overworld,180,-24,MapPickup,56799,,24,,,,,,,,,,,,,,,,,,,,,,,,
modules,Retaliation,PickupModuleRetaliation,Overworld,39,-139,ModulePickup,56817,,26,,,,,,,,,,,,,13,,,,,,,,,,,
modules,Teleport,PickupModuleTeleport,Overworld,-8,28,ModulePickup,56837,,27,,,,,,,,,,,,,16,,,,,,,,,,,
modules,Compass,PickupModuleCompass,Overworld,-10,28.28,ModulePickup,56857,,28,,,,,,,,,,,,,15,,,,,,,,,,,
modules,CollectableScan,PickupModuleCollectableScan,Overworld,-12,28,ModulePickup,56877,,29,,,,,,,,,,,,,11,,,,,,,,,,,
modules,Overcharge,PickupModuleOvercharge,Overworld,235,-29,ModulePickup,56897,,30,,,,,,,,,,,,,10,,,,,,,,,,,
modules,IdolAlly,PickupModuleIdolAlly,Overworld,-175,-167,ModulePickup,56917,,31,,,,,,,,,,,,,2,,,,,,,,,,,
modules,IdolBomb,PickupModuleIdolBomb,Overworld,-179,-167,ModulePickup,56937,,32,,,,,,,,,,,,,0,,,,,,,,,,,
modules,IdolSlow,PickupModuleIdolSlow,Overworld,-177,-167,ModulePickup,56957,,33,,,,,,,,,,,,,1,,,,,,,,,,,
modules,FreePower,PickupModuleFreePower,Overworld,-174,-167,ModulePickup,56977,,34,,,,,,,,,,,,,14,,,,,,,,,,,
scarabs,Golden Scarab,OverworldScarabPickup0,Overworld,6.25,-42.85,ScarabPickup,56998,,,,,,,,,,,,,,,,12215,,,,,,,,,,
scarabs,Golden Scarab,OverworldScarabPickup1,Overworld,78,-132,ScarabPickup,57023,,,,,,,,,,,,,,,,53431,,,,,,,,,,
scarabs,Golden Scarab,OverworldScarabPickup2,Overworld,169.08,92.73,ScarabPickup,57048,,,,,,,,,,,,,,,,15199,,,,,,,,,,
scarabs,Golden Scarab,OverworldScarabPickup3,Overworld,-171.87,180.2,ScarabPickup,57073,,,,,,,,,,,,,,,,53437,,,,,,,,,,
scarabs,Golden Scarab,OverworldScarabPickup4,Overworld,-283,267,ScarabPickup,57098,,,,,,,,,,,,,,,,53452,,,,,,,,,,
scarabs,Golden Scarab,OverworldScarabPickup5,Overworld,125.89,-49.08,ScarabPickup,57123,,,,,,,,,,,,,,,,41061,,,,,,,,,,
scarabs,Golden Scarab,OverworldScarabPickup6,Overworld,231.73,36.33,ScarabPickup,57148,,,,,,,,,,,,,,,,38792,,,,,,,,,,
scarabs,Golden Scarab,OverworldScarabPickup7,Overworld,-68,90,ScarabPickup,57173,,,,,,,,,,,,,,,,53518,,,,,,,,,,
entrances,Overworld > Cave_0,Overworld > Cave_0,Overworld,-0.95,37.02,Transition,57200,,,,,,,,,,,,,,,,,85001,,,,,,,,,
entrances,Overworld > Cave_1,Overworld > Cave_1,Overworld,-9,8,Transition,57204,,,,,,,,,,,,,,,,,85010,,,,,,,,,
entrances,Overworld > Cave_2,Overworld > Cave_2,Overworld,42,60,Transition,57208,,,,,,,,,,,,,,,,,85017,,,,,,,,,
entrances,Overworld > Cave_3,Overworld > Cave_3,Overworld,6.46,45.39,Transition,57212,,,,,,,,,,,,,,,,,85024,,,,,,,,,
entrances,Overworld > Cave_4,Overworld > Cave_4,Overworld,42,30,Transition,57216,,,,,,,,,,,,,,,,,85031,,,,,,,,,
entrances,Overworld > Cave_5,Overworld > Cave_5,Overworld,22,102.12,Transition,57220,,,,,,,,,,,,,,,,,85053,,,,,,,,,
entrances,Overworld > Cave_6,Overworld > Cave_6,Overworld,-42,50,Transition,57224,,,,,,,,,,,,,,,,,85075,,,,,,,,,
entrances,Overworld > Cave_7,Overworld > Cave_7,Overworld,36,-14,Transition,57228,,,,,,,,,,,,,,,,,85082,,,,,,,,,
entrances,Overworld > Cave_8,Overworld > Cave_8,Overworld,70,56,Transition,57232,,,,,,,,,,,,,,,,,85104,,,,,,,,,
entrances,Overworld > Cave_9,Overworld > Cave_9,Overworld,73,6,Transition,57236,,,,,,,,,,,,,,,,,85111,,,,,,,,,
entrances,Overworld > Cave_10,Overworld > Cave_10,Overworld,71,-44,Transition,57240,,,,,,,,,,,,,,,,,85118,,,,,,,,,
entrances,Overworld > Cave_11,Overworld > Cave_11,Overworld,-64.03,22.85,Transition,57244,,,,,,,,,,,,,,,,,85125,,,,,,,,,
entrances,Overworld > Cave_12,Overworld > Cave_12,Overworld,-54,-42.25,Transition,57249,,,,,,,,,,,,,,,,,85132,,,,,,,,,
entrances,Overworld > Cave_13,Overworld > Cave_13,Overworld,-18,30,Transition,57253,,,,,,,,,,,,,,,,,85139,,,,,,,,,
entrances,Overworld > Cave_14,Overworld > Cave_14,Overworld,144.06,160.94,Transition,57257,,,,,,,,,,,,,,,,,85148,,,,,,,,,
entrances,Overworld > Cave_15,Overworld > Cave_15,Overworld,89,78,Transition,57262,,,,,,,,,,,,,,,,,85155,,,,,,,,,
entrances,Overworld > Cave_16,Overworld > Cave_16,Overworld,-108,25.53,Transition,57266,,,,,,,,,,,,,,,,,85162,,,,,,,,,
entrances,Overworld > Cave_17,Overworld > Cave_17,Overworld,-245.53,-100.32,Transition,57270,,,,,,,,,,,,,,,,,85171,,,,,,,,,
entrances,Overworld > Cave_18,Overworld > Cave_18,Overworld,-82,-26.44,Transition,57274,,,,,,,,,,,,,,,,,85178,,,,,,,,,
entrances,Overworld > Cave_19,Overworld > Cave_19,Overworld,89,104.56,Transition,57278,,,,,,,,,,,,,,,,,85185,,,,,,,,,
entrances,Overworld > Cave_23,Overworld > Cave_23,Overworld,-219,133,Transition,57282,,,,,,,,,,,,,,,,,85192,,,,,,,,,
entrances,Overworld > Cave_24,Overworld > Cave_24,Overworld,-220,4,Transition,57286,,,,,,,,,,,,,,,,,85199,,,,,,,,,
entrances,Overworld > Cave_25,Overworld > Cave_25,Overworld,-143,-7,Transition,57290,,,,,,,,,,,,,,,,,85206,,,,,,,,,
entrances,Overworld > Cave_26,Overworld > Cave_26,Overworld,-142.44,24.45,Transition,57294,,,,,,,,,,,,,,,,,85228,,,,,,,,,
entrances,Overworld > Cave_27,Overworld > Cave_27,Overworld,-179,112,Transition,57298,,,,,,,,,,,,,,,,,85236,,,,,,,,,
entrances,Overworld > Cave_28,Overworld > Cave_28,Overworld,-143,162,Transition,57302,,,,,,,,,,,,,,,,,85243,,,,,,,,,
entrances,Overworld > Cave_29,Overworld > Cave_29,Overworld,-196,226.97,Transition,57306,,,,,,,,,,,,,,,,,85250,,,,,,,,,
entrances,Overworld > Cave_31,Overworld > Cave_31,Overworld,-255.87,168,Transition,57310,,,,,,,,,,,,,,,,,85257,,,,,,,,,
entrances,Overworld > Cave_32,Overworld > Cave_32,Overworld,-275,140,Transition,57314,,,,,,,,,,,,,,,,,85264,,,,,,,,,
entrances,Overworld > Cave_33,Overworld > Cave_33,Overworld,-152,178,Transition,57318,,,,,,,,,,,,,,,,,85271,,,,,,,,,
entrances,Overworld > Cave_34,Overworld > Cave_34,Overworld,-134,178,Transition,57322,,,,,,,,,,,,,,,,,85293,,,,,,,,,
entrances,Overworld > Cave_35,Overworld > Cave_35,Overworld,-213,-53,Transition,57326,,,,,,,,,,,,,,,,,85315,,,,,,,,,
entrances,Overworld > Cave_36,Overworld > Cave_36,Overworld,-245.53,-88,Transition,57330,,,,,,,,,,,,,,,,,85322,,,,,,,,,
entrances,Overworld > Cave_37,Overworld > Cave_37,Overworld,-252,-12.06,Transition,57334,,,,,,,,,,,,,,,,,85329,,,,,,,,,
entrances,Overworld > Cave_38,Overworld > Cave_38,Overworld,-188,-11,Transition,57338,,,,,,,,,,,,,,,,,85351,,,,,,,,,
entrances,Overworld > Cave_39,Overworld > Cave_39,Overworld,-198,212,Transition,57342,,,,,,,,,,,,,,,,,85373,,,,,,,,,
entrances,Overworld > Cave_40,Overworld > Cave_40,Overworld,-194,212,Transition,57346,,,,,,,,,,,,,,,,,85395,,,,,,,,,
entrances,Overworld > Cave_41,Overworld > Cave_41,Overworld,-30.1,-93.92,Transition,57350,,,,,,,,,,,,,,,,,85417,,,,,,,,,
entrances,Overworld > Cave_42,Overworld > Cave_42,Overworld,21,-89,Transition,57354,,,,,,,,,,,,,,,,,85424,,,,,,,,,
entrances,Overworld > Cave_43,Overworld > Cave_43,Overworld,-15,-23,Transition,57358,,,,,,,,,,,,,,,,,85431,,,,,,,,,
entrances,Overworld > Cave_44,Overworld > Cave_44,Overworld,-65.81,-70,Transition,57362,,,,,,,,,,,,,,,,,85438,,,,,,,,,
entrances,Overworld > Cave_45,Overworld > Cave_45,Overworld,-151,154,Transition,57366,,,,,,,,,,,,,,,,,85460,,,,,,,,,
entrances,Overworld > Cave_46,Overworld > Cave_46,Overworld,-135,154,Transition,57370,,,,,,,,,,,,,,,,,85469,,,,,,,,,
entrances,Overworld > Cave_47,Overworld > Cave_47,Overworld,144,-110,Transition,57374,,,,,,,,,,,,,,,,,85478,,,,,,,,,
entrances,Overworld > Cave_48,Overworld > Cave_48,Overworld,-23.27,143,Transition,57378,,,,,,,,,,,,,,,,,85485,,,,,,,,,
entrances,Overworld > Cave_50,Overworld > Cave_50,Overworld,-143,264,Transition,57382,,,,,,,,,,,,,,,,,85492,,,,,,,,,
entrances,Overworld > Cave_51,Overworld > Cave_51,Overworld,-68,220,Transition,57386,,,,,,,,,,,,,,,,,85499,,,,,,,,,
entrances,Overworld > Cave_52,Overworld > Cave_52,Overworld,32,192,Transition,57390,,,,,,,,,,,,,,,,,85506,,,,,,,,,
entrances,Overworld > Dungeon1_0,Overworld > Dungeon1_0,Overworld,42,85,Transition,57394,,,,,,,,,,,,,,,,,109042,,,,,,,,,
entrances,Overworld > Dungeon2_0,Overworld > Dungeon2_0,Overworld,-108,-11,Transition,57421,,,,,,,,,,,,,,,,,112863,,,,,,,,,
entrances,Overworld > Dungeon3_0,Overworld > Dungeon3_0,Overworld,144,-90,Transition,57448,,,,,,,,,,,,,,,,,125626,,,,,,,,,
entrances,Overworld > Dungeon4_0,Overworld > Dungeon4_0,Overworld,-143,196.04,Transition,57475,,,,,,,,,,,,,,,,,128947,,,,,,,,,
entrances,Overworld > Dungeon5_0,Overworld > Dungeon5_0,Overworld,-1,241,Transition,57502,,,,,,,,,,,,,,,,,133826,,,,,,,,,
entrances,Overworld > Dungeon5_1,Overworld > Dungeon5_1,Overworld,28,238,Transition,57526,,,,,,,,,,,,,,,,,133834,,,,,,,,,
entrances,Overworld > Dungeon5_2,Overworld > Dungeon5_2,Overworld,46,254,Transition,57530,,,,,,,,,,,,,,,,,133841,,,,,,,,,
entrances,Overworld > Dungeon5_3,Overworld > Dungeon5_3,Overworld,-50,254.05,Transition,57534,,,,,,,,,,,,,,,,,133848,,,,,,,,,
entrances,Overworld > Temple1_0,Overworld > Temple1_0,Overworld,-90,35.55,Transition,57538,,,,,,,,,,,,,,,,,137702,,,,,,,,,
entrances,Overworld > Temple2_0,Overworld > Temple2_0,Overworld,-220,45.56,Transition,57542,,,,,,,,,,,,,,,,,141455,,,,,,,,,
