category,name,object,scene,x,y,schema,objectIndex,spriteI
pickups_remaining,Pickup,PickupModuleHpDrop,Cave,-479,145.64,Pickup,84522,117
pickups_remaining,Pickup,MapPickupJunkyard,Cave,-590,188,Pickup,84542,24
pickups_remaining,Pickup,PickupModuleHeartCrystal,Cave,-706,-160,Pickup,84564,118
pickups_remaining,Pickup,PickupModulePrimordialCrystal,Cave,-948,237,Pickup,84580,119
pickups_remaining,Pickup,PickupModuleBlueBullet,Cave,-582,-28,Pickup,84603,120
pickups_remaining,Pickup,PickupModuleRage,Cave,-756,-174,Pickup,84623,121
pickups_remaining,Pickup,PickupKeyFinalBoss,Cave,-832,-170,Pickup,84644,122
pickups_remaining,Pickup,PickupKeyScarab,Cave,-552,75,Pickup,84656,123
pickups_remaining,Pickup,CaveScarabPickup0,Cave,-822,130.6,Pickup,84670,35
pickups_remaining,Pickup,CaveScarabPickup1,Cave,-822,146,Pickup,84695,35
pickups_remaining,Pickup,CaveScarabPickup2,Cave,-774.03,-53.42,Pickup,84720,35
pickups_remaining,Pickup,CaveScarabPickup3,Cave,-838.48,-130,Pickup,84745,35
pickups_remaining,Pickup,CaveExtraHp0,CaveExtra,-1411,-84,Pickup,106562,18
pickups_remaining,Pickup,Dungeon1Energy0,Dungeon1,500,219,Pickup,108890,17
pickups_remaining,Pickup,Dungeon1Hp0,Dungeon1,564,236,Pickup,108909,18
pickups_remaining,Pickup,SkillDash,Dungeon1,517,237,Pickup,108927,23
pickups_remaining,Pickup,Dungeon1CrystalKey0,Dungeon1,474,271,Pickup,108951,136
pickups_remaining,Pickup,Dungeon1CrystalKey1,Dungeon1,423,225,Pickup,108964,136
pickups_remaining,Pickup,Dungeon1CrystalKey2,Dungeon1,490,205,Pickup,108977,136
pickups_remaining,Pickup,Dungeon1CrystalKey3,Dungeon1,603.84,245.25,Pickup,108990,136
pickups_remaining,Pickup,Dungeon1BossKey,Dungeon1,547,193.23,Pickup,109004,137
pickups_remaining,Pickup,Dungeon1CrystalBoss,Dungeon1,517,296.43,Pickup,109017,138
pickups_remaining,Pickup,Dungeon2Hp0,Dungeon2,908,368,Pickup,112705,18
pickups_remaining,Pickup,SkillSupershot,Dungeon2,952,340,Pickup,112723,23
pickups_remaining,Pickup,Dungeon2CrystalKey0,Dungeon2,888,340,Pickup,112747,136
pickups_remaining,Pickup,Dungeon2CrystalKey1,Dungeon2,919,261,Pickup,112760,136
pickups_remaining,Pickup,Dungeon2CrystalKey2,Dungeon2,972,314,Pickup,112773,136
pickups_remaining,Pickup,Dungeon2CrystalKey3,Dungeon2,818,288,Pickup,112786,136
pickups_remaining,Pickup,Dungeon2BossKey,Dungeon2,952,288,Pickup,112800,137
pickups_remaining,Pickup,Dungeon2CrystalBoss,Dungeon2,952,215,Pickup,112813,138
pickups_remaining,Pickup,Dungeon2ScarabPickup0,Dungeon2,1046,340,Pickup,112836,35
pickups_remaining,Pickup,Dungeon3Hp0,Dungeon3,921,-47,Pickup,125361,18
pickups_remaining,Pickup,Dungeon3Energy0,Dungeon3,829,-15,Pickup,125377,17
pickups_remaining,Pickup,SkillHover,Dungeon3,867,-14,Pickup,125398,23
pickups_remaining,Pickup,Dungeon3CrystalKey0,Dungeon3,949,4,Pickup,125422,136
pickups_remaining,Pickup,Dungeon3CrystalKey1,Dungeon3,792,-65,Pickup,125435,136
pickups_remaining,Pickup,Dungeon3CrystalKey2,Dungeon3,921,-20,Pickup,125448,136
pickups_remaining,Pickup,Dungeon3CrystalKey3,Dungeon3,792,51,Pickup,125461,136
pickups_remaining,Pickup,Dungeon3CrystalKey4,Dungeon3,824.98,-10.34,Pickup,125474,136
pickups_remaining,Pickup,Dungeon3CrystalBoss,Dungeon3,867,-107,Pickup,125484,138
pickups_remaining,Pickup,Dungeon3BossKey,Dungeon3,811,-100,Pickup,125506,137
pickups_remaining,Pickup,Dungeon3ScarabPickup0,Dungeon3,911,66,Pickup,125520,35
pickups_remaining,Pickup,Dungeon3ScarabPickup1,Dungeon3,829,-60,Pickup,125545,35
pickups_remaining,Pickup,Dungeon4CrystalBoss,Dungeon4,514,-15.31,Pickup,128922,138
pickups_remaining,Pickup,PickupKeyDarker,Dungeon5,1408,-212.94,Pickup,133809,158
pickups_remaining,Pickup,Temple1Hp0,Temple1,-839,-409,Pickup,137625,18
pickups_remaining,Pickup,CavePowerBombLevel0,Temple1,-771,-323,Pickup,137642,164
pickups_remaining,Pickup,Temple1ScarabPickup0,Temple1,-851,-361,Pickup,137663,35
pickups_remaining,Pickup,Temple2PowerSlowLevel0,Temple2,-568,-346,Pickup,141401,168
pickups_remaining,Pickup,Temple2ScarabPickup0,Temple2,-524,-406,Pickup,141422,35
pickups_remaining,Pickup,Temple3PowerAllyLevel0,Temple3,-816,-494,Pickup,150002,169
pickups_remaining,Pickup,Temple3ScarabPickup0,Temple3,-824,-619,Pickup,150023,35
pickups_remaining,Pickup,LorePickup5,Tower,-72,-333,Pickup,154827,25
pickups_remaining,Pickup,PickupModuleSpiritDash,Tower,238,-341,Pickup,154847,170
