category,name,object,scene,x,y,schema,objectIndex,size,tier,spriteI
enemies,Enemy,Overworld 031 CreeperT2 S3 Crazy,Overworld,-179.1,4.18,Enemy,58200,3,2,48
enemies,Enemy,Overworld 032 SneakerT2 S1,Overworld,-201.88,41.12,Enemy,58214,1,2,49
enemies,Enemy,Overworld 033 SneakerT2 S1,Overworld,-182.88,41.12,Enemy,58221,1,2,49
enemies,Enemy,Overworld 034 SneakerT2 S3,Overworld,-192.88,41.12,Enemy,58228,3,2,50
enemies,Enemy,Overworld 035 SneakerT2 S2,Overworld,-189.88,48.12,Enemy,58244,2,2,51
enemies,Enemy,Overworld 036 CreeperT2 S1 Crazy,Overworld,-170.94,19.01,Enemy,58250,1,2,47
enemies,Enemy,Overworld 037 CreeperT2 S1 Crazy,Overworld,-161.49,18.14,Enemy,58263,1,2,47
enemies,Enemy,Overworld 038 SneakerT2 S1,Overworld,-249.71,41.14,Enemy,58277,1,2,49
enemies,Enemy,Overworld 039 SneakerT2 S1,Overworld,-248.71,41.14,Enemy,58284,1,2,49
enemies,Enemy,Overworld 040 SneakerT2 S1,Overworld,-247.71,41.14,Enemy,58291,1,2,49
enemies,Enemy,Overworld 041 CreeperT2 S1 Crazy,Overworld,-208,57,Enemy,58299,1,2,47
enemies,Enemy,Overworld 042 CreeperT2 S1 Crazy,Overworld,-210,57,Enemy,58312,1,2,47
enemies,Enemy,Overworld 043 CreeperT2 S1 Crazy,Overworld,-212,57,Enemy,58325,1,2,47
enemies,Enemy,Overworld 044 CrosserT1 S2 Solid,Overworld,-108,-40,Enemy,58339,2,1,52
enemies,Enemy,Overworld 045 CreeperT1 S1,Overworld,-107,-47,Enemy,58349,1,1,53
enemies,Enemy,Overworld 046 CreeperT1 S1,Overworld,-110.37,-48.36,Enemy,58356,1,1,53
enemies,Enemy,Overworld 047 CreeperT1 S1,Overworld,-113,-48,Enemy,58363,1,1,53
enemies,Enemy,Overworld 048 CreeperT1 S1,Overworld,-110,-43,Enemy,58370,1,1,53
enemies,Enemy,Overworld 049 CreeperT1 S1,Overworld,-111.64,-44.03,Enemy,58377,1,1,53
enemies,Enemy,Overworld 050 CreeperT1 S1,Overworld,-115,-46,Enemy,58384,1,1,53
enemies,Enemy,Overworld 051 CreeperT1 S1,Overworld,-115.01,-49.21,Enemy,58391,1,1,53
enemies,Enemy,Overworld 052 ShooterT2 S1 Sniper,Overworld,-108,-54,Enemy,58398,1,2,54
enemies,Enemy,Overworld 053 CreeperT1 S1,Overworld,-108,-48,Enemy,58403,1,1,53
enemies,Enemy,Overworld 054 CreeperT1 S1,Overworld,-111.91,-46.21,Enemy,58410,1,1,53
enemies,Enemy,Overworld 055 CreeperT1 S1,Overworld,-113.59,-43.4,Enemy,58417,1,1,53
enemies,Enemy,Overworld 056 CreeperT1 S1,Overworld,-114,-45,Enemy,58424,1,1,53
enemies,Enemy,Overworld 057 CreeperT1 S1,Overworld,-115,-47,Enemy,58431,1,1,53
enemies,Enemy,Overworld 058 CreeperT1 S1,Overworld,-111.25,-49.55,Enemy,58438,1,1,53
enemies,Enemy,Overworld 059 CreeperT1 S1,Overworld,-109,-44,Enemy,58445,1,1,53
enemies,Enemy,Overworld 060 CreeperT1 S1,Overworld,-113.59,-46.4,Enemy,58452,1,1,53
enemies,Enemy,Overworld 061 CreeperT1 S1,Overworld,-114,-40,Enemy,58459,1,1,53
enemies,Enemy,Overworld 062 CreeperT1 S1,Overworld,-117,-35,Enemy,58466,1,1,53
enemies,Enemy,Overworld 063 CreeperT1 S1,Overworld,-112,-32,Enemy,58473,1,1,53
enemies,Enemy,Overworld 064 DodgerT1 S2,Overworld,-101.93,-87.93,Enemy,58481,2,1,55
enemies,Enemy,Overworld 065 DodgerT2 S1,Overworld,-99.5,-85.39,Enemy,58492,1,2,56
enemies,Enemy,Overworld 066 DodgerT2 S1,Overworld,-98.14,-89.66,Enemy,58502,1,2,56
enemies,Enemy,Overworld 067 CrosserT2 S3 Gamma,Overworld,-143,-74,Enemy,58513,3,2,57
enemies,Enemy,Overworld 068 ShooterT2 S2,Overworld,-72,18,Enemy,58532,2,2,58
enemies,Enemy,Overworld 069 SpitterT1 S1,Overworld,60.01,75.88,Enemy,58537,1,1,59
enemies,Enemy,Overworld 070 SpitterT1 S1,Overworld,70,72,Enemy,58548,1,1,59
enemies,Enemy,Overworld 071 SpitterT1 S1,Overworld,-25,3,Enemy,58560,1,1,59
enemies,Enemy,Overworld 072 SpitterT1 S1,Overworld,-31,-10,Enemy,58571,1,1,59
enemies,Enemy,Overworld 073 ShooterT1 S2 Solid,Overworld,-89,-108,Enemy,58584,2,1,60
enemies,Boss/enemy,Overworld 074 Miniboss Snaker T1 S3,Overworld,-287.4,78,Enemy,58590,3,1,50
enemies,Enemy,Overworld 075 TimberT2 S3,Overworld,-90,56,Enemy,58695,3,2,61
enemies,Enemy,Overworld 076 ShooterT2 S3,Overworld,-116,36,Enemy,58719,3,2,62
enemies,Enemy,Overworld 077 SquiderT1 S1,Overworld,115.67,-15.69,Enemy,58726,1,1,63
enemies,Enemy,Overworld 078 SquiderT1 S1,Overworld,108,-11,Enemy,58736,1,1,63
enemies,Enemy,Overworld 079 DoublerT1 S1 Bounce Aim,Overworld,126,13,Enemy,58747,1,1,64
enemies,Enemy,Overworld 080 DoublerT1 S1 Bounce Aim,Overworld,110,13,Enemy,58753,1,1,64
enemies,Enemy,Overworld 081 ShooterT1 S2,Overworld,118,8,Enemy,58759,2,1,65
enemies,Enemy,Overworld 082 SquiderT1 S1,Overworld,137,5,Enemy,58764,1,1,63
enemies,Enemy,Overworld 083 SquiderT1 S1,Overworld,150,-5,Enemy,58774,1,1,63
enemies,Enemy,Overworld 084 SpitterT1 S1,Overworld,148,5,Enemy,58784,1,1,59
enemies,Enemy,Overworld 085 SpitterT1 S1,Overworld,139.42,-11.77,Enemy,58795,1,1,59
enemies,Enemy,Overworld 086 SpitterT1 S1,Overworld,139,-16,Enemy,58806,1,1,59
enemies,Enemy,Overworld 087 SpitterT2 S1,Overworld,145,31,Enemy,58818,1,2,49
enemies,Enemy,Overworld 088 SpitterT2 S1,Overworld,147,43,Enemy,58829,1,2,49
enemies,Enemy,Overworld 089 SquiderT1 S2,Overworld,153.66,21.35,Enemy,58841,2,1,66
enemies,Enemy,Overworld 090 SquiderT2 S1,Overworld,167,16,Enemy,58853,1,2,67
enemies,Enemy,Overworld 091 SquiderT1 S1,Overworld,171,13,Enemy,58863,1,1,63
enemies,Enemy,Overworld 092 SquiderT1 S1,Overworld,175,19,Enemy,58873,1,1,63
enemies,Enemy,Overworld 093 ShooterT1 S3,Overworld,178,3,Enemy,58883,3,1,68
enemies,Enemy,Overworld 094 SquiderT2 S1,Overworld,199.98,40.88,Enemy,58890,1,2,67
enemies,Enemy,Overworld 095 SpitterT2 S1,Overworld,241,45,Enemy,58900,1,2,49
enemies,Enemy,Overworld 096 SpitterT2 S1,Overworld,220,49,Enemy,58911,1,2,49
enemies,Enemy,Overworld 097 CrosserT2 S1 Gamma Patrol Horiz Variant,Overworld,164,113,Enemy,58923,1,2,69
enemies,Enemy,Overworld 098 CrosserT2 S1 Gamma Patrol Horiz Variant,Overworld,174,73,Enemy,58933,1,2,69
enemies,Enemy,Overworld 099 ShooterT2 S1,Overworld,171,108,Enemy,58943,1,2,54
enemies,Enemy,Overworld 100 ShooterT2 S1,Overworld,165,108,Enemy,58947,1,2,54
enemies,Enemy,Overworld 101 DoublerT2 S1 Bounce 180 Triple,Overworld,214,123,Enemy,58952,1,2,69
enemies,Enemy,Overworld 102 DoublerT2 S1 Bounce 180 Triple,Overworld,214,120,Enemy,58958,1,2,69
enemies,Enemy,Overworld 103 ShooterT2 S1 Sniper,Overworld,102.45,128.22,Enemy,58965,1,2,54
enemies,Enemy,Overworld 104 ShooterT2 S1 Sniper,Overworld,104.45,126.22,Enemy,58976,1,2,54
enemies,Enemy,Overworld 105 CrosserT1 S1 Gamma Patrol Square,Overworld,125,131,Enemy,58988,1,1,64
enemies,Enemy,Overworld 106 CrosserT1 S1 Gamma Patrol Square,Overworld,120,131,Enemy,58998,1,1,64
enemies,Enemy,Overworld 107 CrosserT1 S1 Gamma Patrol Square,Overworld,120,136,Enemy,59008,1,1,64
enemies,Enemy,Overworld 108 CrosserT1 S1 Gamma Patrol Square,Overworld,125,136,Enemy,59018,1,1,64
enemies,Enemy,Overworld 109 CrosserT1 S1 Gamma Patrol Square,Overworld,135,136,Enemy,59028,1,1,64
enemies,Enemy,Overworld 110 CrosserT1 S1 Gamma Patrol Square,Overworld,140,131,Enemy,59038,1,1,64
enemies,Enemy,Overworld 111 CrosserT1 S1 Gamma Patrol Square,Overworld,135,131,Enemy,59048,1,1,64
enemies,Enemy,Overworld 112 CrosserT1 S1 Gamma Patrol Square,Overworld,140,136,Enemy,59058,1,1,64
enemies,Enemy,Overworld 113 ShooterT2 S1 Sniper,Overworld,130,141,Enemy,59068,1,2,54
enemies,Enemy,Overworld 114 FighterT1 S1,Overworld,101,103,Enemy,59074,1,1,70
enemies,Enemy,Overworld 115 FighterT1 S1,Overworld,98.29,108.65,Enemy,59080,1,1,70
enemies,Enemy,Overworld 116 FighterT1 S1,Overworld,99,101,Enemy,59086,1,1,70
enemies,Enemy,Overworld 117 FighterT1 S1,Overworld,104,100,Enemy,59092,1,1,70
enemies,Enemy,Overworld 118 FighterT1 S1,Overworld,84,111,Enemy,59098,1,1,70
enemies,Enemy,Overworld 119 FighterT2 S1,Overworld,65.17,117.62,Enemy,59105,1,2,71
enemies,Enemy,Overworld 120 FighterT1 S1,Overworld,61.68,123.51,Enemy,59113,1,1,70
enemies,Enemy,Overworld 121 FighterT1 S1,Overworld,73.99,127.3,Enemy,59119,1,1,70
enemies,Enemy,Overworld 122 FighterT1 S1,Overworld,58.23,111.7,Enemy,59126,1,1,70
enemies,Enemy,Overworld 123 FighterT1 S1,Overworld,80,100,Enemy,59132,1,1,70
enemies,Enemy,Overworld 124 FighterT1 S2,Overworld,85,122,Enemy,59139,2,1,72
enemies,Enemy,Overworld 125 FighterT1 S1,Overworld,82,130,Enemy,59149,1,1,70
enemies,Enemy,Overworld 126 FighterT1 S1,Overworld,80,127,Enemy,59155,1,1,70
enemies,Enemy,Overworld 127 ShooterT2 S1 Sniper,Overworld,90,141,Enemy,59162,1,2,54
enemies,Enemy,Overworld 128 SpitterT1 S1,Overworld,104,157,Enemy,59168,1,1,59
enemies,Enemy,Overworld 129 SpitterT1 S1,Overworld,104,157,Enemy,59179,1,1,59
enemies,Enemy,Overworld 130 SpitterT3 S1,Overworld,19,105,Enemy,59191,1,3,73
enemies,Enemy,Overworld 131 SpitterT3 S1,Overworld,19,98,Enemy,59202,1,3,73
enemies,Enemy,Overworld 132 SpitterT3 S1,Overworld,25,105,Enemy,59213,1,3,73
enemies,Enemy,Overworld 133 SpitterT3 S1,Overworld,25,98,Enemy,59224,1,3,73
enemies,Enemy,Overworld 134 Frogger T1 S2,Overworld,174,88,Enemy,59236,2,1,74
enemies,Enemy,Overworld 135 Frogger T2 S2,Overworld,163,92,Enemy,59271,2,2,75
enemies,Enemy,Overworld 136 Frogger T1 S2,Overworld,161,77,Enemy,59308,2,1,74
enemies,Enemy,Overworld 137 Frogger T1 S2,Overworld,206,96,Enemy,59344,2,1,74
enemies,Enemy,Overworld 138 Frogger T2 S2,Overworld,196,91,Enemy,59379,2,2,75
enemies,Enemy,Overworld 139 Frogger T1 S2,Overworld,201,79,Enemy,59416,2,1,74
enemies,Enemy,Overworld 140 Frogger T3 S2,Overworld,130.27,165.13,Enemy,59452,2,3,76
enemies,Enemy,Overworld 141 Frogger T2 S2,Overworld,156.68,162.92,Enemy,59489,2,2,75
enemies,Enemy,Overworld 142 Frogger T2 S2,Overworld,146,172,Enemy,59526,2,2,75
enemies,Enemy,Overworld 143 CreeperT2 S3 Giant,Overworld,118,149,Enemy,59563,3,2,48
enemies,Enemy,Overworld 144 Frogger T1 S2,Overworld,193.68,188.06,Enemy,59591,2,1,74
enemies,Enemy,Overworld 145 Frogger T1 S2,Overworld,185,171,Enemy,59626,2,1,74
enemies,Enemy,Overworld 146 Frogger T1 S2,Overworld,205,147,Enemy,59661,2,1,74
enemies,Enemy,Overworld 147 SpitterT2 S1,Overworld,-167,-22,Enemy,59697,1,2,49
enemies,Enemy,Overworld 148 SneakerT1 S1,Overworld,-149,-4,Enemy,59709,1,1,59
enemies,Enemy,Overworld 149 SneakerT1 S1,Overworld,-150.13,-10.13,Enemy,59716,1,1,59
enemies,Enemy,Overworld 150 SneakerT1 S1,Overworld,-151.13,-13.13,Enemy,59723,1,1,59
enemies,Enemy,Overworld 151 SneakerT1 S1,Overworld,-157,-12,Enemy,59730,1,1,59
enemies,Enemy,Overworld 152 SneakerT1 S1,Overworld,-154,-8,Enemy,59737,1,1,59
enemies,Enemy,Overworld 153 SneakerT1 S1,Overworld,-143,-12,Enemy,59744,1,1,59
enemies,Enemy,Overworld 154 SneakerT1 S1,Overworld,-142,-3,Enemy,59751,1,1,59
enemies,Enemy,Overworld 155 SneakerT1 S1,Overworld,-146.13,-5.13,Enemy,59758,1,1,59
enemies,Enemy,Overworld 156 SneakerT1 S1,Overworld,-149,1,Enemy,59765,1,1,59
enemies,Enemy,Overworld 157 SneakerT1 S1,Overworld,-139,-7,Enemy,59772,1,1,59
enemies,Enemy,Overworld 158 SpitterT2 S1,Overworld,-141,4,Enemy,59780,1,2,49
enemies,Enemy,Overworld 159 SpitterT2 S1,Overworld,-158,-7,Enemy,59791,1,2,49
enemies,Enemy,Overworld 160 JarrerT2 S2,Overworld,-66,107,Enemy,59803,2,2,12
enemies,Enemy,Overworld 161 JarrerT2 S1,Overworld,-62,92.64,Enemy,59840,1,2,11
enemies,Enemy,Overworld 162 JarrerT2 S1,Overworld,-67.25,98,Enemy,59867,1,2,11
enemies,Enemy,Overworld 163 JarrerT2 S2,Overworld,-56,100,Enemy,59894,2,2,12
enemies,Enemy,Overworld 164 JarrerT2 S1,Overworld,-72.43,98,Enemy,59931,1,2,11
enemies,Enemy,Overworld 165 SpitterT3 S1,Overworld,-63,96,Enemy,59958,1,3,73
enemies,Enemy,Overworld 166 SpitterT3 S1,Overworld,-72,104,Enemy,59969,1,3,73
enemies,Enemy,Overworld 167 JarrerT2 S1,Overworld,-54,94,Enemy,59980,1,2,11
enemies,Enemy,Overworld 168 JarrerT2 S1,Overworld,-54,86,Enemy,60007,1,2,11
enemies,Enemy,Overworld 169 JarrerT2 S1,Overworld,-58,104,Enemy,60034,1,2,11
enemies,Enemy,Overworld 170 JarrerT2 S3,Overworld,-42,92,Enemy,60062,3,2,13
enemies,Enemy,Overworld 171 SpitterT3 S1,Overworld,-49,92,Enemy,60103,1,3,73
enemies,Enemy,Overworld 172 SpitterT2 S2,Overworld,-42,98,Enemy,60114,2,2,51
enemies,Enemy,Overworld 173 SpitterT2 S2,Overworld,-42,86,Enemy,60125,2,2,51
enemies,Enemy,Overworld 174 JarrerT2 S1,Overworld,-47,79,Enemy,60136,1,2,11
enemies,Enemy,Overworld 175 JarrerT2 S1,Overworld,-32,87,Enemy,60163,1,2,11
enemies,Enemy,Overworld 176 BusherT1 S3,Overworld,-35,-101,Enemy,60191,3,1,61
enemies,Enemy,Overworld 177 BusherT1 S3,Overworld,-21,-92,Enemy,60227,3,1,61
enemies,Enemy,Overworld 178 BusherT1 S3,Overworld,-38,-87,Enemy,60263,3,1,61
enemies,Enemy,Overworld 179 BusherT1 S2,Overworld,-43.99,-83.91,Enemy,60299,2,1,77
enemies,Enemy,Overworld 180 BusherT1 S2,Overworld,-41.83,-101.29,Enemy,60335,2,1,77
enemies,Enemy,Overworld 181 BusherT1 S2,Overworld,-26,-106,Enemy,60371,2,1,77
enemies,Enemy,Overworld 182 BusherT1 S2,Overworld,-19,-102,Enemy,60407,2,1,77
enemies,Enemy,Overworld 183 BusherT1 S2,Overworld,-16.22,-89.74,Enemy,60443,2,1,77
enemies,Enemy,Overworld 184 FighterT1 S1,Overworld,17,-60,Enemy,60480,1,1,70
enemies,Enemy,Overworld 185 FighterT1 S1,Overworld,18,-50,Enemy,60486,1,1,70
enemies,Enemy,Overworld 186 FighterT2 S1,Overworld,9,-61,Enemy,60492,1,2,71
enemies,Enemy,Overworld 187 BusherT1 S2,Overworld,41,-76,Enemy,60501,2,1,77
enemies,Enemy,Overworld 188 BusherT1 S2,Overworld,51,-76,Enemy,60537,2,1,77
enemies,Enemy,Overworld 189 BusherT1 S2,Overworld,46,-72,Enemy,60573,2,1,77
enemies,Enemy,Overworld 190 BusherT1 S2,Overworld,-28,-47,Enemy,60610,2,1,77
enemies,Enemy,Overworld 191 BusherT1 S2,Overworld,-23,-53,Enemy,60646,2,1,77
enemies,Enemy,Overworld 192 BusherT1 S2,Overworld,-43,-40,Enemy,60682,2,1,77
enemies,Enemy,Overworld 193 BusherT1 S2,Overworld,-38.41,-51.98,Enemy,60718,2,1,77
enemies,Enemy,Overworld 194 FighterT1 S2,Overworld,-31.65,-55.26,Enemy,60754,2,1,72
enemies,Enemy,Overworld 195 FighterT1 S1,Overworld,-44.4,-45.91,Enemy,60764,1,1,70
enemies,Enemy,Overworld 196 FighterT1 S1,Overworld,-33.34,-49.5,Enemy,60770,1,1,70
enemies,Enemy,Overworld 197 FighterT1 S1,Overworld,-25,-60,Enemy,60776,1,1,70
enemies,Enemy,Overworld 198 BusherT1 S2,Overworld,-33.28,-25.18,Enemy,60783,2,1,77
enemies,Enemy,Overworld 199 FighterT1 S1,Overworld,-40.83,-27.7,Enemy,60819,1,1,70
enemies,Enemy,Overworld 200 ShooterT2 S3,Overworld,172,258.45,Enemy,60826,3,2,62
enemies,Enemy,Overworld 201 ShooterT2 S2,Overworld,158,254,Enemy,60832,2,2,58
enemies,Enemy,Overworld 202 ShooterT2 S2,Overworld,158,246,Enemy,60836,2,2,58
enemies,Enemy,Overworld 203 ShooterT2 S1,Overworld,158,250,Enemy,60840,1,2,54
enemies,Enemy,Overworld 204 ShooterT2 S2,Overworld,186,254,Enemy,60844,2,2,58
enemies,Enemy,Overworld 205 ShooterT2 S1,Overworld,186,250,Enemy,60848,1,2,54
enemies,Enemy,Overworld 206 ShooterT2 S2,Overworld,170,258.45,Enemy,60852,2,2,58
enemies,Enemy,Overworld 207 ShooterT2 S2,Overworld,186,246,Enemy,60856,2,2,58
enemies,Enemy,Overworld 208 ShooterT2 S2,Overworld,174,258.45,Enemy,60860,2,2,58
enemies,Enemy,Overworld 209 ShooterT2 S3,Overworld,155,220,Enemy,60865,3,2,62
enemies,Enemy,Overworld 210 ShooterT2 S3,Overworld,152,217,Enemy,60871,3,2,62
enemies,Enemy,Overworld 211 ShooterT2 S1,Overworld,180,214,Enemy,60877,1,2,54
enemies,Enemy,Overworld 212 ShooterT2 S1,Overworld,174,208,Enemy,60881,1,2,54
enemies,Enemy,Overworld 213 ShooterT1 S2,Overworld,185,-24,Enemy,60886,2,1,65
enemies,Enemy,Overworld 214 ShooterT1 S2,Overworld,183.54,-20.46,Enemy,60890,2,1,65
enemies,Enemy,Overworld 215 ShooterT1 S2,Overworld,180,-19,Enemy,60894,2,1,65
enemies,Enemy,Overworld 216 ShooterT1 S2,Overworld,176.46,-20.46,Enemy,60898,2,1,65
enemies,Enemy,Overworld 217 ShooterT1 S2,Overworld,175,-24,Enemy,60902,2,1,65
enemies,Enemy,Overworld 218 ShooterT1 S2,Overworld,176.46,-27.54,Enemy,60906,2,1,65
enemies,Enemy,Overworld 219 ShooterT1 S2,Overworld,180,-29,Enemy,60910,2,1,65
enemies,Enemy,Overworld 220 ShooterT1 S2,Overworld,183.54,-27.54,Enemy,60914,2,1,65
enemies,Enemy,Overworld 221 ShooterT3 S3,Overworld,99.95,-82.1,Enemy,60919,3,3,78
enemies,Enemy,Overworld 222 TimberT2 S3,Overworld,72,-103.66,Enemy,60926,3,2,61
enemies,Enemy,Overworld 223 TimberT2 S3,Overworld,-24,-198,Enemy,60950,3,2,61
enemies,Enemy,Overworld 224 TimberT2 S3,Overworld,-58,-198,Enemy,60973,3,2,61
enemies,Enemy,Overworld 225 FighterT2 S1,Overworld,-50.06,-201.95,Enemy,60996,1,2,71
enemies,Enemy,Overworld 226 FighterT2 S1,Overworld,-26.05,-215.75,Enemy,61004,1,2,71
enemies,Enemy,Overworld 227 FighterT2 S1,Overworld,-41,-217,Enemy,61012,1,2,71
enemies,Enemy,Overworld 228 FighterT2 S1,Overworld,-53.8,-189.66,Enemy,61020,1,2,71
enemies,Enemy,Overworld 229 FighterT2 S1,Overworld,-28.05,-215.75,Enemy,61028,1,2,71
enemies,Enemy,Overworld 230 FighterT2 S1,Overworld,-51.18,-199.56,Enemy,61036,1,2,71
enemies,Enemy,Overworld 231 FighterT2 S1,Overworld,-9,-205,Enemy,61044,1,2,71
enemies,Enemy,Overworld 232 FighterT2 S1,Overworld,-48,-183,Enemy,61052,1,2,71
enemies,Enemy,Overworld 233 BusherT1 S2 Grid,Overworld,-50,-146,Enemy,61061,2,1,77
enemies,Enemy,Overworld 234 BusherT1 S2 Grid,Overworld,-34,-134,Enemy,61097,2,1,77
enemies,Enemy,Overworld 235 BusherT1 S2 Grid,Overworld,-42.85,-138.58,Enemy,61133,2,1,77
enemies,Enemy,Overworld 236 BusherT1 S2 Grid,Overworld,-45.85,-139.58,Enemy,61169,2,1,77
enemies,Enemy,Overworld 237 BusherT1 S2 Grid,Overworld,-37,-150,Enemy,61205,2,1,77
enemies,Enemy,Overworld 238 BusherT1 S2 Grid,Overworld,113,-178,Enemy,61242,2,1,77
enemies,Enemy,Overworld 239 BusherT1 S2 Grid,Overworld,128,-173,Enemy,61278,2,1,77
enemies,Enemy,Overworld 240 BusherT1 S2 Grid,Overworld,129,-179,Enemy,61314,2,1,77
enemies,Enemy,Overworld 241 BusherT1 S2 Grid,Overworld,120,-177,Enemy,61350,2,1,77
enemies,Enemy,Overworld 242 SpitterT3 S3,Overworld,-109,101,Enemy,61387,3,3,79
enemies,Enemy,Overworld 243 SneakerT2 S3,Overworld,-125,79,Enemy,61406,3,2,50
enemies,Enemy,Overworld 244 SneakerT2 S1,Overworld,-123.3,78.8,Enemy,61422,1,2,49
enemies,Enemy,Overworld 245 SneakerT2 S2,Overworld,-121,79,Enemy,61429,2,2,51
enemies,Enemy,Overworld 246 SneakerT1 S1,Overworld,-150.55,47.97,Enemy,61435,1,1,59
enemies,Enemy,Overworld 247 SneakerT1 S1,Overworld,-159.17,42.88,Enemy,61442,1,1,59
enemies,Enemy,Overworld 248 SneakerT1 S1,Overworld,-154,41,Enemy,61449,1,1,59
enemies,Enemy,Overworld 249 JunkerT3 S2,Overworld,-47,243,Enemy,61457,2,3,80
enemies,Enemy,Overworld 250 JunkerT3 S2,Overworld,-53,243,Enemy,61508,2,3,80
enemies,Enemy,Overworld 251 JunkerT3 S3,Overworld,-1,218.84,Enemy,61560,3,3,80
enemies,Enemy,Overworld 252 JunkerT3 S2,Overworld,11,218,Enemy,61611,2,3,80
enemies,Enemy,Overworld 253 JunkerT3 S2,Overworld,-13,218,Enemy,61662,2,3,80
enemies,Enemy,Overworld 254 JunkerT3 S2,Overworld,-36,189,Enemy,61714,2,3,80
enemies,Enemy,Overworld 255 JunkerT3 S2,Overworld,-48,177,Enemy,61765,2,3,80
enemies,Enemy,Overworld 256 JunkerT3 S3,Overworld,45,216,Enemy,61817,3,3,80
enemies,Enemy,Overworld 257 CreeperT3 S3 Giant,Overworld,-59.02,123.01,Enemy,61869,3,3,81
enemies,Enemy,Overworld 258 FighterT3 S1,Overworld,-80,176,Enemy,61897,1,3,82
enemies,Enemy,Overworld 259 FighterT3 S1,Overworld,-66,149,Enemy,61903,1,3,82
enemies,Enemy,Overworld 260 FighterT3 S1,Overworld,-69,151,Enemy,61909,1,3,82
enemies,Enemy,Overworld 261 FighterT3 S1,Overworld,-63,147,Enemy,61915,1,3,82
enemies,Enemy,Overworld 262 FighterT3 S1,Overworld,-75,192,Enemy,61921,1,3,82
enemies,Enemy,Overworld 263 FighterT3 S1,Overworld,-76,194,Enemy,61927,1,3,82
enemies,Enemy,Overworld 264 FighterT3 S1,Overworld,-85,196,Enemy,61933,1,3,82
enemies,Enemy,Overworld 265 FighterT1 S1,Overworld,70.53,-72.04,Enemy,61940,1,1,70
enemies,Enemy,Overworld 266 FighterT1 S1,Overworld,72.02,-69.69,Enemy,61946,1,1,70
enemies,Enemy,Overworld 267 FighterT2 S1,Overworld,63.62,-73.67,Enemy,61952,1,2,71
